07:10:01.819 :: ##### 프로그램 재시작 #####
09:10:27.607 :: False 6
09:10:28.746 :: False 6
09:10:29.807 :: False 6
09:10:30.962 :: False 6
09:10:32.009 :: False 6
09:10:33.150 :: False 6
09:10:34.258 :: False 6
09:10:34.258 :: False 6
09:10:35.381 :: False 6
09:10:35.381 :: False 6
09:10:36.504 :: False 6
09:10:37.583 :: False 6
09:10:38.721 :: False 6
09:10:39.798 :: False 6
09:10:40.890 :: False 6
09:10:42.026 :: False 6
09:10:43.118 :: False 6
09:10:44.241 :: False 6
09:10:45.333 :: False 6
09:10:46.472 :: False 6
09:10:47.553 :: False 6
09:10:48.668 :: False 6
09:10:49.760 :: False 6
09:10:49.760 :: False 6
09:10:50.899 :: False 6
09:10:50.899 :: False 6
09:10:51.991 :: False 6
09:10:51.991 :: False 6
09:10:53.100 :: False 6
09:10:53.100 :: False 6
09:10:54.207 :: False 6
09:10:54.207 :: False 6
09:10:55.362 :: False 6
09:10:56.469 :: False 6
09:10:56.469 :: False 6
09:10:57.516 :: False 6
09:10:58.639 :: False 6
09:10:59.762 :: False 6
09:11:00.885 :: False 6
09:11:01.962 :: False 6
09:11:03.116 :: False 6
09:11:04.146 :: False 6
09:11:05.254 :: False 6
09:11:06.377 :: False 6
09:11:07.532 :: False 6
09:11:08.593 :: False 6
09:11:09.716 :: False 6
09:11:10.808 :: False 6
09:11:11.916 :: False 6
09:11:13.040 :: False 6
09:11:14.646 :: False 6
09:11:15.317 :: False 6
09:11:16.347 :: False 6
09:11:17.501 :: False 6
09:11:18.562 :: False 6
09:11:19.732 :: False 6
09:11:20.817 :: False 6
09:11:21.924 :: False 6
09:11:22.985 :: False 6
09:11:24.124 :: False 6
09:11:25.185 :: False 6
09:11:26.370 :: False 6
09:11:27.419 :: False 6
09:11:28.527 :: False 6
09:11:29.619 :: False 6
09:11:30.727 :: False 6
09:11:31.865 :: False 6
09:11:32.990 :: False 6
09:11:34.050 :: False 6
09:11:35.189 :: False 6
09:11:36.266 :: False 6
09:11:37.420 :: False 6
09:11:38.481 :: False 6
09:11:39.604 :: False 6
09:11:40.727 :: False 6
09:11:41.843 :: False 6
09:11:42.935 :: False 6
09:11:44.074 :: False 6
09:11:45.119 :: False 6
09:11:46.273 :: False 6
09:11:47.365 :: False 6
09:11:48.457 :: False 6
09:11:49.565 :: False 6
09:11:50.688 :: False 6
09:11:51.780 :: False 6
09:11:52.903 :: False 6
09:11:53.965 :: False 6
09:11:55.120 :: False 6
09:11:56.212 :: False 6
09:11:57.367 :: False 6
09:11:58.428 :: False 6
09:11:59.551 :: False 6
09:12:00.682 :: False 6
09:12:01.805 :: False 6
09:12:02.866 :: False 6
09:12:04.005 :: False 6
09:12:05.081 :: False 6
09:12:06.204 :: False 6
09:12:07.282 :: False 6
09:12:08.406 :: False 6
09:12:09.561 :: False 6
09:12:10.646 :: False 6
09:12:11.756 :: False 6
09:12:12.833 :: False 6
09:12:13.937 :: False 6
09:12:15.077 :: False 6
09:12:16.172 :: False 6
09:12:17.297 :: False 6
09:12:18.410 :: False 6
09:12:19.460 :: False 6
09:12:20.572 :: False 6
09:12:21.687 :: False 6
