08:48:45.332 :: ##### 프로그램 시작 #####
08:48:45.776 :: JIF :: 11-장전 동시호가 개시
08:48:46.066 :: 자동 로그인 시작
08:48:48.694 :: 로그인 시도..!!
08:48:49.169 :: 0000 :: 로그인 성공
08:48:49.389 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:48:49.391 :: t8430 :: 시간 검색 타이머 구동
09:17:52.880 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:54.043 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:55.152 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:56.302 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:57.402 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:58.488 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:59.597 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:00.678 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:01.733 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:02.881 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:03.970 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:05.110 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:06.254 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:07.270 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:08.440 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:09.579 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:10.680 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:11.806 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:12.815 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:13.927 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:15.100 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:16.202 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:17.290 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:18.350 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:19.495 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:20.657 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:21.768 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:22.822 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:23.924 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:25.036 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:26.176 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:27.265 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:28.403 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:29.517 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:30.598 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:31.699 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:32.787 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:33.967 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:35.026 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:36.147 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:37.236 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:38.349 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:39.445 :: 당일 재매수 여부:False 당일 매수된 종목수:6
