08:50:15.272 :: ##### 프로그램 시작 #####
08:50:16.277 :: JIF :: 25-장 개시 10분 전
08:53:31.741 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:31.743 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:31.745 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:31.746 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:34.785 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:34.786 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:34.788 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:34.790 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:37.819 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:37.822 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:37.824 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:37.825 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:40.863 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:40.865 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:40.866 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:40.868 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:43.910 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:43.912 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:43.914 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:43.916 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:46.986 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:46.988 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:46.990 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:46.992 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:50.032 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:50.042 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:50.044 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:50.046 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:53.036 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:53.037 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:53.039 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:53.041 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:56.065 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:56.067 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:56.068 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:56.070 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:59.150 :: 당일 재매수 여부:False 당일 매수된 종목수:4
